x1,x2,y1,y2,ln,co
        0.00,        2.00,        0.00,        0.00,        1.00,r
        2.00,        4.00,        0.00,        2.00,        1.00,r
        4.00,        6.00,        2.00,        4.00,        1.00,r
        6.00,        8.00,        4.00,        6.00,        1.00,r
        2.00,        2.00,        0.00,        4.00,        2.00,g
        2.00,        6.00,        4.00,        4.00,        2.00,g
        6.00,        8.00,        4.00,        4.00,        2.00,g
        2.00,        0.00,        4.00,        6.00,        3.00,b
        4.00,        2.00,        2.00,        4.00,        3.00,b
        6.00,        4.00,        0.00,        2.00,        3.00,b
        8.00,        6.00,        0.00,        0.00,        3.00,b
        0.00,        0.00,        6.00,        8.00,        3.00,b
        8.00,        8.00,        0.00,        4.00,        4.00,DarkOrange
