x1,x2,y1,y2,ln,co
        4.00,        8.00,        0.00,        0.00,        1.00,r
        8.00,       10.00,        0.00,        2.00,        1.00,r
       10.00,       12.00,        2.00,        4.00,        1.00,r
       12.00,       14.00,        4.00,        6.00,        1.00,r
        8.00,        8.00,        0.00,        4.00,        2.00,g
        8.00,       12.00,        4.00,        4.00,        2.00,g
       12.00,       14.00,        4.00,        4.00,        2.00,g
        8.00,        6.00,        4.00,        4.00,        3.00,b
       10.00,        8.00,        2.00,        4.00,        3.00,b
       12.00,       10.00,        0.00,        2.00,        3.00,b
       14.00,       12.00,        0.00,        0.00,        3.00,b
        6.00,        6.00,        4.00,        6.00,        3.00,b
       14.00,       14.00,        0.00,        4.00,        4.00,DarkOrange
