x1,x2,y1,y2,ln,co
       60.00,       62.00,        0.00,        2.00,        1.00,Brown
       62.00,       64.00,        2.00,        4.00,        1.00,Brown
       64.00,       66.00,        4.00,        6.00,        1.00,Brown
       66.00,       68.00,        6.00,        8.00,        1.00,Brown
       68.00,       70.00,        8.00,       10.00,        1.00,Brown
       70.00,       70.00,       10.00,       12.00,        1.00,Brown
       70.00,       70.00,       12.00,       14.00,        1.00,Brown
       70.00,       70.00,       14.00,       16.00,        1.00,Brown
       70.00,       70.00,       16.00,       18.00,        1.00,Brown
       70.00,       72.00,       16.00,       16.00,        2.00,g
       70.00,       70.00,       18.00,       20.00,        1.00,Brown
       70.00,       70.00,       20.00,       22.00,        1.00,Brown
       70.00,       72.00,       20.00,       20.00,        3.00,DarkOrange
       70.00,       70.00,       22.00,       24.00,        1.00,Brown
       70.00,       70.00,       24.00,       26.00,        1.00,Brown
       70.00,       70.00,       26.00,       28.00,        1.00,Brown
       70.00,       70.00,       28.00,       30.00,        1.00,Brown
       70.00,       70.00,       30.00,       32.00,        1.00,Brown
       70.00,       72.00,       32.00,       34.00,        1.00,Brown
       72.00,       74.00,       34.00,       36.00,        1.00,Brown
       74.00,       76.00,       36.00,       38.00,        1.00,Brown
       74.00,       72.00,       36.00,       38.00,        2.00,g
       76.00,       78.00,       38.00,       40.00,        1.00,Brown
       78.00,       80.00,       40.00,       42.00,        1.00,Brown
       80.00,       82.00,       42.00,       44.00,        1.00,Brown
       82.00,       84.00,       44.00,       46.00,        1.00,Brown
       56.00,       58.00,       16.00,       16.00,        2.00,g
       58.00,       60.00,       16.00,       16.00,        2.00,g
       60.00,       62.00,       16.00,       16.00,        2.00,g
       62.00,       64.00,       16.00,       16.00,        2.00,g
       64.00,       66.00,       16.00,       16.00,        2.00,g
       66.00,       68.00,       16.00,       16.00,        2.00,g
       68.00,       70.00,       16.00,       16.00,        2.00,g
       72.00,       74.00,       16.00,       16.00,        2.00,g
       74.00,       76.00,       16.00,       18.00,        2.00,g
       76.00,       80.00,       18.00,       22.00,        2.00,g
       80.00,       82.00,       22.00,       24.00,        2.00,g
       80.00,       80.00,       22.00,       26.00,        5.00,r
       80.00,       78.00,       22.00,       22.00,        4.00,DarkViolet
       82.00,       84.00,       24.00,       26.00,        2.00,g
       84.00,       82.00,       26.00,       28.00,        2.00,g
       84.00,       86.00,       26.00,       24.00,        3.00,DarkOrange
       82.00,       80.00,       28.00,       30.00,        2.00,g
       82.00,       84.00,       28.00,       30.00,        5.00,r
       80.00,       78.00,       30.00,       32.00,        2.00,g
       80.00,       82.00,       30.00,       32.00,        4.00,DarkViolet
       78.00,       76.00,       32.00,       34.00,        2.00,g
       76.00,       74.00,       34.00,       36.00,        2.00,g
       60.00,       62.00,       24.00,       22.00,        3.00,DarkOrange
       62.00,       64.00,       22.00,       20.00,        3.00,DarkOrange
       64.00,       66.00,       20.00,       20.00,        3.00,DarkOrange
       66.00,       68.00,       20.00,       20.00,        3.00,DarkOrange
       68.00,       70.00,       20.00,       20.00,        3.00,DarkOrange
       72.00,       74.00,       20.00,       22.00,        3.00,DarkOrange
       74.00,       76.00,       22.00,       24.00,        3.00,DarkOrange
       76.00,       78.00,       24.00,       26.00,        3.00,DarkOrange
       76.00,       76.00,       24.00,       26.00,        4.00,DarkViolet
       78.00,       80.00,       26.00,       26.00,        3.00,DarkOrange
       80.00,       82.00,       26.00,       28.00,        5.00,r
       80.00,       82.00,       26.00,       26.00,        3.00,DarkOrange
       82.00,       84.00,       26.00,       26.00,        3.00,DarkOrange
       86.00,       88.00,       24.00,       22.00,        3.00,DarkOrange
       88.00,       90.00,       22.00,       20.00,        3.00,DarkOrange
       90.00,       92.00,       20.00,       18.00,        3.00,DarkOrange
       92.00,       92.00,       18.00,       16.00,        3.00,DarkOrange
       92.00,       92.00,       16.00,       14.00,        3.00,DarkOrange
       92.00,       92.00,       14.00,       12.00,        3.00,DarkOrange
       92.00,       92.00,       12.00,       10.00,        3.00,DarkOrange
       78.00,       76.00,       22.00,       24.00,        4.00,DarkViolet
       76.00,       78.00,       26.00,       28.00,        4.00,DarkViolet
       78.00,       80.00,       28.00,       30.00,        4.00,DarkViolet
       82.00,       86.00,       32.00,       32.00,        4.00,DarkViolet
       86.00,       88.00,       32.00,       32.00,        4.00,DarkViolet
       86.00,       88.00,       32.00,       34.00,        5.00,r
       88.00,       90.00,       32.00,       32.00,        4.00,DarkViolet
       90.00,       92.00,       32.00,       32.00,        4.00,DarkViolet
       80.00,       80.00,       14.00,       16.00,        5.00,r
       80.00,       80.00,       16.00,       18.00,        5.00,r
       80.00,       80.00,       18.00,       20.00,        5.00,r
       80.00,       80.00,       20.00,       22.00,        5.00,r
       84.00,       86.00,       30.00,       32.00,        5.00,r
       88.00,       90.00,       34.00,       36.00,        5.00,r
       90.00,       92.00,       36.00,       38.00,        5.00,r
       92.00,       94.00,       38.00,       40.00,        5.00,r
       94.00,       96.00,       40.00,       42.00,        5.00,r
       96.00,       98.00,       42.00,       44.00,        5.00,r
       98.00,      100.00,       44.00,       46.00,        5.00,r
      100.00,      100.00,       46.00,       48.00,        5.00,r
      100.00,      100.00,       48.00,       50.00,        5.00,r
      100.00,      100.00,       50.00,       52.00,        5.00,r
