x1,x2,y1,y2,ln,co
       14.00,       14.00,        0.00,        2.00,        1.00,Brown
       14.00,       14.00,        2.00,        4.00,        1.00,Brown
       14.00,       14.00,        4.00,        6.00,        1.00,Brown
       14.00,       14.00,        6.00,        8.00,        1.00,Brown
       14.00,       14.00,        8.00,       10.00,        1.00,Brown
       14.00,       14.00,       10.00,       12.00,        1.00,Brown
       14.00,       14.00,       12.00,       14.00,        1.00,Brown
       14.00,       14.00,       14.00,       16.00,        1.00,Brown
       14.00,       14.00,       16.00,       20.00,        1.00,Brown
       14.00,       14.00,       20.00,       24.00,        1.00,Brown
       14.00,       14.00,       24.00,       26.00,        1.00,Brown
       14.00,       14.00,       26.00,       28.00,        1.00,Brown
       14.00,       14.00,       28.00,       30.00,        1.00,Brown
       14.00,       16.00,       30.00,       32.00,        1.00,Brown
       16.00,       18.00,       32.00,       34.00,        1.00,Brown
       18.00,       20.00,       34.00,       36.00,        1.00,Brown
       20.00,       24.00,       36.00,       40.00,        1.00,Brown
       24.00,       28.00,       40.00,       44.00,        1.00,Brown
       28.00,       30.00,       44.00,       46.00,        1.00,Brown
       30.00,       32.00,       46.00,       48.00,        1.00,Brown
       32.00,       34.00,       48.00,       50.00,        1.00,Brown
       34.00,       36.00,       50.00,       52.00,        1.00,Brown
       36.00,       38.00,       52.00,       54.00,        1.00,Brown
       14.00,       16.00,       16.00,       16.00,        2.00,g
       28.00,       28.00,       44.00,       46.00,        2.00,g
        0.00,        2.00,       16.00,       16.00,        2.00,g
        2.00,        4.00,       16.00,       16.00,        2.00,g
        4.00,        6.00,       16.00,       16.00,        2.00,g
        6.00,        8.00,       16.00,       16.00,        2.00,g
        8.00,       10.00,       16.00,       16.00,        2.00,g
       10.00,       12.00,       16.00,       16.00,        2.00,g
       12.00,       14.00,       16.00,       16.00,        2.00,g
       16.00,       20.00,       16.00,       16.00,        2.00,g
       20.00,       22.00,       16.00,       18.00,        2.00,g
       22.00,       24.00,       18.00,       20.00,        2.00,g
       24.00,       26.00,       20.00,       22.00,        2.00,g
       26.00,       28.00,       22.00,       24.00,        2.00,g
       28.00,       28.00,       24.00,       28.00,        2.00,g
       28.00,       28.00,       28.00,       32.00,        2.00,g
       28.00,       28.00,       32.00,       36.00,        2.00,g
       28.00,       28.00,       36.00,       40.00,        2.00,g
       28.00,       28.00,       40.00,       44.00,        2.00,g
       14.00,       16.00,       24.00,       24.00,        3.00,DarkOrange
