,1,2
R0,0.0001,0.9999
R1,0.0264,0.9736
R2,0.0527,0.9473
R3,0.079,0.921
R4,0.1053,0.8947
R5,0.1316,0.8684
R6,0.1579,0.8421
R7,0.1842,0.8158
R8,0.2105,0.7895
R9,0.2368,0.7632
R10,0.2631,0.7369
R11,0.2894,0.7106
R12,0.3157,0.6843
R13,0.342,0.658
R14,0.3683,0.6317
R15,0.3946,0.6054
R16,0.4209,0.5791
R17,0.4472,0.5528
R18,0.4735,0.5265
R19,0.4998,0.5002
R20,0.5261,0.4739
R21,0.5524,0.4476
R22,0.5787,0.4213
R23,0.605,0.395
R24,0.6313,0.3687
R25,0.6576,0.3424
R26,0.6839,0.3161
R27,0.7102,0.2898
R28,0.7365,0.2635
R29,0.7628,0.2372
R30,0.7891,0.2109
R31,0.8154,0.1846
R32,0.8417,0.1583
R33,0.868,0.132
R34,0.8943,0.1057
R35,0.9206,0.0794
R36,0.9469,0.0531
R37,0.9732,0.0268
R38,0.9995,0.0005
